"pointsmade","delta"
2,55
2,38
2,12
2,30
2,20
2,43
2,29
2,21
2,19
2,67
2,167
3,41
2,42
3,34
2,24
3,18
2,24
3,16
2,111
3,19
3,10
2,19
3,27
2,22
2,34
2,19
2,14
2,26
2,24
3,13
2,74
2,13
2,30
3,69
3,10
3,43
3,16
2,10
3,22
2,13
3,38
3,16
2,21
2,19
3,77
2,17
2,15
2,72
3,75
2,16
3,33
2,14
3,35
2,34
3,14
3,17
3,13
3,28
2,13
2,60
2,51
2,68
3,12
3,9
2,23
3,24
3,6
2,25
3,13
2,24
2,80
3,71
2,42
2,83
3,16
3,58
3,43
2,15
2,14
2,9
3,108
3,67
2,8
2,29
2,12
3,3
